kb_id,topic,content,embedding_ready,chunk_type,language,last_updated
K8027,car_rental,Tips for car rental in India: Always carry the original driving license (photocopies not accepted). Download the rental company app for digital key access (available for newer cars). Fill up fuel before returning to avoid extra charges. Report any traffic violations immediately to the rental company. Toll charges are the renter's responsibility.,false,faq,en,2026-01-15
K8028,cancellation,"Refund tracking: After cancellation, you will receive a cancellation confirmation email with a refund reference number. Track your refund status in the CarTrawler app under My Bookings > Cancelled. Refunds to original payment method: Card (5-7 business days), UPI (1-3 business days), Wallet (instant). Bank processing times may vary.",false,faq,en,2026-01-15
K8029,loyalty,"Loyalty points for combo bookings: When you book a flight + car rental together (combo booking), you earn 25% bonus loyalty points. For example, a Rs 10,000 combo booking earns 125 points instead of the standard 100. Combo bookings also qualify for the WEEKEND15 and seasonal discount coupons.",false,faq,en,2026-01-15
K8030,payment,"Invoice and GST: CarTrawler provides GST-compliant invoices for all bookings. Business travelers can enter their GSTIN at checkout for input tax credit. Invoices are available for download in the My Bookings section. For bulk booking invoices or corporate accounts, contact our B2B team at corporate@cartrawler.in.",false,faq,en,2026-01-15
K8031,flight_booking,IndiGo is India's largest airline by market share offering budget-friendly Economy flights. Air India is the national carrier providing full-service meals and more baggage. SpiceJet offers competitive pricing especially for short routes. Vistara (a Tata-Singapore Airlines JV) is known for premium Economy and Business class experience. Akasa Air is the newest entrant with modern Boeing 737 MAX fleet.,False,faq,en,2026-01-20
K8032,flight_booking,"CarTrawler displays real-time seat availability. Green = available, Yellow = filling fast (< 10 seats), Red = last 3 seats. Prices may change dynamically. We recommend booking immediately when you see your preferred fare. Price lock feature available for Rs 99 to hold a fare for 24 hours.",False,faq,en,2026-01-20
K8033,car_rental,"One-way car rentals: Some vendors allow picking up in one city and dropping off in another. One-way charges (Rs 500-2000) apply. Available routes: Mumbai-Pune, Delhi-Agra, Delhi-Jaipur, Bangalore-Mysore, Chennai-Pondicherry. Advance booking of 48 hours required for one-way rentals.",False,faq,en,2026-01-20
K8034,car_rental,"Corporate car rental packages: CarTrawler offers special rates for corporate clients booking 10+ vehicles per month. Monthly invoicing, dedicated account manager, and priority vehicle allocation available. Contact corporate@cartrawler.in for rates. GST invoices provided for all corporate bookings.",False,faq,en,2026-01-20
K8035,cancellation,"How to cancel a booking on CarTrawler: Go to My Bookings, select the booking you want to cancel, click Cancel Booking. Cancellation reason required for refund processing. Refund timeline: Refundable tickets 5-7 business days, non-refundable credit note within 24 hours, car rentals 3-5 business days.",False,faq,en,2026-01-20
K8036,loyalty,"How to check loyalty points: Log in to your CarTrawler account, go to Profile > Loyalty Points. Points history shows all earned and redeemed transactions. Points summary shows current balance, tier, and points needed for next tier upgrade.",False,faq,en,2026-01-20
K8037,hotel,"Hotel star rating guide: 5-star (luxury, premium amenities, fine dining), 4-star (upscale, business amenities, good restaurants), 3-star (mid-scale, comfortable rooms, basic amenities), 2-star (budget, basic rooms, essential amenities). All hotels on CarTrawler are physically verified.",False,faq,en,2026-01-20
K8038,hotel,"Hotel booking process on CarTrawler: Search by city, select dates and guests, filter by star rating or amenities, compare options, click Book Now. No additional hotel booking fees. Direct booking rates guaranteed. Free cancellation on most hotels up to 24 hours before check-in. Premium hotels may require non-refundable advance.",False,faq,en,2026-01-20
K8039,travel_tips,Cheapest time to book flights: Book domestic Indian flights 4-6 weeks in advance for best fares. Last-minute flights (1-3 days before) can be very expensive. Tuesday and Wednesday are cheapest travel days. Early morning (6-8 AM) and late night (10 PM+) flights are typically 15-20% cheaper than peak-time flights.,False,faq,en,2026-01-20
K8040,travel_tips,Packing tips for Indian domestic travel: Carry government-issued photo ID (Aadhaar/PAN/Passport) - mandatory for flights. Pack light for IndiGo/SpiceJet as extra baggage is expensive. Carry a portable charger. Download airline app and CarTrawler app for offline access to booking details. Arrive at airport 90 minutes before departure for domestic flights.,False,faq,en,2026-01-20
K8041,payment,"EMI options on CarTrawler: EMI available on bookings above Rs 10,000 using HDFC, ICICI, SBI, Axis, Kotak credit cards. 3-month EMI at 0% interest on select cards. 6 and 12-month options available at bank's standard interest rates. EMI option shown at checkout for eligible cards.",False,faq,en,2026-01-20
K8042,support,"Escalation process: Level 1 - Chat/WhatsApp support (5 min response). Level 2 - Phone support 1800-CARTRAWLER (immediate). Level 3 - Email escalation support@cartrawler.in (4 hour response). For urgent issues (flight in 2 hours, car not available), always call the helpline directly for fastest resolution.",False,faq,en,2026-01-20
K8043,flight_booking,"Popular business travel routes: Delhi-Mumbai (most popular, hourly flights), Delhi-Bangalore (popular IT corridor), Mumbai-Hyderabad, Delhi-Hyderabad. Business class upgrades available at check-in subject to availability. Vistara and Air India have the best Business class experience on domestic routes.",False,faq,en,2026-01-20
K8044,car_rental,"Best car for each use: City travel = Hatchback or Compact (easy to park, fuel efficient). Airport transfer = Sedan (comfortable, spacious boot). Family road trip = SUV or MUV (space, ground clearance). Corporate meetings = Sedan or Luxury. Goa/hill station = SUV recommended. Group travel (7+) = MUV.",False,faq,en,2026-01-20
K8045,offers,"How to maximize savings on CarTrawler: Combine COMBO10 (10% off flight+car) with a loyalty discount for maximum savings. MONSOON25 valid June-September offers highest discount. Book during CarTrawler sale events (Diwali, Holi, Independence Day) for extra offers. Loyalty PLATINUM members get automatic 15% off.",False,faq,en,2026-01-20
K8046,airport_info,"Goa (Dabolim) airport information: IATA code GOI. Located in South Goa. Takes 30-45 minutes to North Goa beaches like Calangute, Baga. Pre-paid taxi counters available. Peak season October-March sees heavy traffic - pre-book car rental. New Mopa airport (IATA: GOX) in North Goa also operational.",False,faq,en,2026-01-20
K8047,airport_info,"Bangalore Kempegowda International Airport: IATA BLR. Located 35 km from city center. Namma Metro connectivity available to Airport from 2025. Car rental counters in Arrivals area. Prepaid taxi counter available. Rush hour (8-10 AM, 5-8 PM) adds 60-90 minutes to city travel time.",False,faq,en,2026-01-20
K8048,cancellation,"No-show policy: If you do not board a flight and did not cancel, the ticket is marked as no-show. For refundable tickets, no-show forfeits the full fare. For non-refundable tickets, no refund or credit note is issued. Car rental no-show results in full day charge. Always cancel if you cannot travel.",False,faq,en,2026-01-20
K8049,loyalty,Tier upgrade timeline: Bronze to Silver when you cross 1000 points. Silver to Gold at 2500 points. Gold to Platinum at 5000 points. Tier is calculated on rolling 12-month basis. Tier benefits apply from the date of upgrade. Downgrade happens if points fall below tier threshold during annual review.,False,faq,en,2026-01-20
K8050,travel_tips,"Monsoon travel tips (June-September): Book refundable tickets as weather can cause flight delays. Carry waterproof bags for electronics. Goa, Kerala, and hill stations are beautiful during monsoon but have limited connectivity. Avoid night driving in mountainous regions during monsoon. Check weather forecasts 24 hours before departure.",False,faq,en,2026-01-20
K8031,flight_booking,IndiGo is India's largest airline by market share offering budget-friendly Economy flights. Air India is the national carrier providing full-service meals and more baggage. SpiceJet offers competitive pricing especially for short routes. Vistara (a Tata-Singapore Airlines JV) is known for premium Economy and Business class experience. Akasa Air is the newest entrant with modern Boeing 737 MAX fleet.,False,faq,en,2026-01-20
K8032,flight_booking,"CarTrawler displays real-time seat availability. Green = available, Yellow = filling fast (< 10 seats), Red = last 3 seats. Prices may change dynamically. We recommend booking immediately when you see your preferred fare. Price lock feature available for Rs 99 to hold a fare for 24 hours.",False,faq,en,2026-01-20
K8033,car_rental,"One-way car rentals: Some vendors allow picking up in one city and dropping off in another. One-way charges (Rs 500-2000) apply. Available routes: Mumbai-Pune, Delhi-Agra, Delhi-Jaipur, Bangalore-Mysore, Chennai-Pondicherry. Advance booking of 48 hours required for one-way rentals.",False,faq,en,2026-01-20
K8034,car_rental,"Corporate car rental packages: CarTrawler offers special rates for corporate clients booking 10+ vehicles per month. Monthly invoicing, dedicated account manager, and priority vehicle allocation available. Contact corporate@cartrawler.in for rates. GST invoices provided for all corporate bookings.",False,faq,en,2026-01-20
K8035,cancellation,"How to cancel a booking on CarTrawler: Go to My Bookings, select the booking you want to cancel, click Cancel Booking. Cancellation reason required for refund processing. Refund timeline: Refundable tickets 5-7 business days, non-refundable credit note within 24 hours, car rentals 3-5 business days.",False,faq,en,2026-01-20
K8036,loyalty,"How to check loyalty points: Log in to your CarTrawler account, go to Profile > Loyalty Points. Points history shows all earned and redeemed transactions. Points summary shows current balance, tier, and points needed for next tier upgrade.",False,faq,en,2026-01-20
K8037,hotel,"Hotel star rating guide: 5-star (luxury, premium amenities, fine dining), 4-star (upscale, business amenities, good restaurants), 3-star (mid-scale, comfortable rooms, basic amenities), 2-star (budget, basic rooms, essential amenities). All hotels on CarTrawler are physically verified.",False,faq,en,2026-01-20
K8038,hotel,"Hotel booking process on CarTrawler: Search by city, select dates and guests, filter by star rating or amenities, compare options, click Book Now. No additional hotel booking fees. Direct booking rates guaranteed. Free cancellation on most hotels up to 24 hours before check-in. Premium hotels may require non-refundable advance.",False,faq,en,2026-01-20
K8039,travel_tips,Cheapest time to book flights: Book domestic Indian flights 4-6 weeks in advance for best fares. Last-minute flights (1-3 days before) can be very expensive. Tuesday and Wednesday are cheapest travel days. Early morning (6-8 AM) and late night (10 PM+) flights are typically 15-20% cheaper than peak-time flights.,False,faq,en,2026-01-20
K8040,travel_tips,Packing tips for Indian domestic travel: Carry government-issued photo ID (Aadhaar/PAN/Passport) - mandatory for flights. Pack light for IndiGo/SpiceJet as extra baggage is expensive. Carry a portable charger. Download airline app and CarTrawler app for offline access to booking details. Arrive at airport 90 minutes before departure for domestic flights.,False,faq,en,2026-01-20
K8041,payment,"EMI options on CarTrawler: EMI available on bookings above Rs 10,000 using HDFC, ICICI, SBI, Axis, Kotak credit cards. 3-month EMI at 0% interest on select cards. 6 and 12-month options available at bank's standard interest rates. EMI option shown at checkout for eligible cards.",False,faq,en,2026-01-20
K8042,support,"Escalation process: Level 1 - Chat/WhatsApp support (5 min response). Level 2 - Phone support 1800-CARTRAWLER (immediate). Level 3 - Email escalation support@cartrawler.in (4 hour response). For urgent issues (flight in 2 hours, car not available), always call the helpline directly for fastest resolution.",False,faq,en,2026-01-20
K8043,flight_booking,"Popular business travel routes: Delhi-Mumbai (most popular, hourly flights), Delhi-Bangalore (popular IT corridor), Mumbai-Hyderabad, Delhi-Hyderabad. Business class upgrades available at check-in subject to availability. Vistara and Air India have the best Business class experience on domestic routes.",False,faq,en,2026-01-20
K8044,car_rental,"Best car for each use: City travel = Hatchback or Compact (easy to park, fuel efficient). Airport transfer = Sedan (comfortable, spacious boot). Family road trip = SUV or MUV (space, ground clearance). Corporate meetings = Sedan or Luxury. Goa/hill station = SUV recommended. Group travel (7+) = MUV.",False,faq,en,2026-01-20
K8045,offers,"How to maximize savings on CarTrawler: Combine COMBO10 (10% off flight+car) with a loyalty discount for maximum savings. MONSOON25 valid June-September offers highest discount. Book during CarTrawler sale events (Diwali, Holi, Independence Day) for extra offers. Loyalty PLATINUM members get automatic 15% off.",False,faq,en,2026-01-20
K8046,airport_info,"Goa (Dabolim) airport information: IATA code GOI. Located in South Goa. Takes 30-45 minutes to North Goa beaches like Calangute, Baga. Pre-paid taxi counters available. Peak season October-March sees heavy traffic - pre-book car rental. New Mopa airport (IATA: GOX) in North Goa also operational.",False,faq,en,2026-01-20
K8047,airport_info,"Bangalore Kempegowda International Airport: IATA BLR. Located 35 km from city center. Namma Metro connectivity available to Airport from 2025. Car rental counters in Arrivals area. Prepaid taxi counter available. Rush hour (8-10 AM, 5-8 PM) adds 60-90 minutes to city travel time.",False,faq,en,2026-01-20
K8048,cancellation,"No-show policy: If you do not board a flight and did not cancel, the ticket is marked as no-show. For refundable tickets, no-show forfeits the full fare. For non-refundable tickets, no refund or credit note is issued. Car rental no-show results in full day charge. Always cancel if you cannot travel.",False,faq,en,2026-01-20
K8049,loyalty,Tier upgrade timeline: Bronze to Silver when you cross 1000 points. Silver to Gold at 2500 points. Gold to Platinum at 5000 points. Tier is calculated on rolling 12-month basis. Tier benefits apply from the date of upgrade. Downgrade happens if points fall below tier threshold during annual review.,False,faq,en,2026-01-20
K8050,travel_tips,"Monsoon travel tips (June-September): Book refundable tickets as weather can cause flight delays. Carry waterproof bags for electronics. Goa, Kerala, and hill stations are beautiful during monsoon but have limited connectivity. Avoid night driving in mountainous regions during monsoon. Check weather forecasts 24 hours before departure.",False,faq,en,2026-01-20
